#{"t_start": 1765858255.9665444, "env_id": "highway-ME-basic-v0"}
r,l,t
22.493764,21,18.082282
4.099066,4,18.279588
8.928054,9,18.699435
3.269501,3,18.844407
15.8953,13,19.48947
6.273731,6,20.135886
3.072729,3,20.289408
4.272728,4,20.482637
19.126798,17,21.386441
7.269677,6,21.675714
10.499605,10,22.151621
19.267344,16,22.944125
6.672729,6,23.249599
14.729395,14,23.898881
6.870194,6,24.167202
18.528462,17,24.962106
34.266419,29,26.329581
16.86659,13,26.935055
14.702751,12,32.579294
5.694729,5,32.833778
14.666198,13,33.508752
11.070203,10,34.021883
4.27173,4,34.230785
6.902195,7,34.620251
8.494367,7,35.039641
7.499069,7,35.421965
10.703578,10,35.986483
37.897149,36,37.912889
4.703526,5,38.206362
10.098872,9,38.720564
5.869261,5,39.024726
4.673602,4,39.23148
4.89961,5,39.53422
7.269044,6,39.854699
9.524984,9,40.372087
5.296592,5,40.665435
7.699066,7,41.086524
16.492963,13,41.835253
4.074119,4,42.055387
13.892742,11,42.648652
9.903938,10,43.198688
7.127131,7,43.606064
20.267427,18,44.595157
8.930253,8,45.054963
4.098198,4,45.29548
4.099067,4,45.508657
6.702643,7,45.87694
7.468961,6,46.231121
3.073663,3,46.402442
7.728925,8,46.83254
3.668359,3,47.007626
14.525755,14,47.752952
9.27193,9,48.233971
4.669738,4,48.460696
3.270194,3,48.623494
8.530323,9,49.097884
3.669044,3,49.273644
6.899185,7,49.646615
24.896643,21,50.752951
17.49859,17,51.626973
17.498187,17,52.55237
27.270759,24,53.861488
13.668734,11,54.466606
4.669738,4,54.69468
4.1,4,54.932214
14.467177,13,55.599512
32.473718,32,57.278162
24.897594,23,58.450538
3.270194,3,58.617477
8.870951,8,59.018487
4.469261,4,59.22848
4.903925,5,59.481885
12.468359,11,60.050556
18.902506,15,60.828497
8.429665,7,61.188898
6.069677,5,61.448403
15.468962,13,62.151218
10.098067,9,62.612658
12.069747,11,63.176162
18.471953,15,63.942028
13.69527,12,64.574548
11.468257,9,65.037005
24.467162,21,66.090327
3.269501,3,66.248685
11.270125,9,66.713523
5.867384,5,66.968674
4.669501,4,67.177563
25.221869,23,68.336685
6.468924,6,68.6557
8.898133,8,69.072574
33.92711,32,70.734626
5.626701,5,70.992253
10.726398,10,71.518137
14.33033,13,72.20154
19.494348,15,72.990088
3.073663,3,73.144733
5.872452,5,73.414273
13.497587,12,74.018124
5.272805,5,74.276258
8.099297,7,74.652224
23.491819,21,75.770113
13.625785,12,76.388714
10.668332,9,76.848805
36.659487,33,78.530924
4.473206,4,78.745375
