#{"t_start": 1765905274.416657, "env_id": "highway-ME-basic-AddRightReward-v0"}
r,l,t
2.0,6,20.249964
4.25,10,20.778545
2.5,12,21.391255
9.0,21,22.39613
5.25,11,22.942832
5.0,19,23.782314
3.0,12,24.317432
0.5,6,24.594216
2.75,10,25.11004
2.5,8,25.500191
1.25,6,25.768211
1.5,4,25.970145
2.0,9,26.381341
3.75,10,26.837571
2.0,4,27.030612
0.0,9,27.432072
0.75,3,27.602027
0.5,3,27.75766
1.5,5,27.990531
0.5,5,28.220112
6.25,40,30.847307
0.25,3,31.032694
2.25,7,31.447576
1.75,4,31.658627
1.0,3,31.867792
6.0,23,33.087606
1.5,3,33.243072
1.25,3,33.409658
1.25,4,33.642332
0.5,5,33.893653
0.5,8,34.292655
1.25,4,34.507344
0.75,9,34.969458
2.0,5,35.214871
1.0,7,35.564167
1.25,4,35.763718
6.75,23,36.918027
3.5,14,37.617612
1.75,5,37.865127
1.0,14,38.563167
2.5,5,38.840522
1.25,7,39.207455
3.25,7,39.563131
1.5,4,39.766738
1.0,10,40.296202
0.0,7,40.651975
7.5,17,41.542772
1.25,20,42.559476
0.25,3,42.740675
1.5,14,43.450658
0.0,10,43.963898
2.0,19,44.953388
1.25,4,45.199176
1.0,3,45.355628
10.75,40,47.404326
3.25,7,47.760987
6.0,18,48.73835
4.5,25,50.003111
4.5,9,50.461058
0.25,3,50.623761
4.0,9,51.102978
3.5,11,51.672754
0.0,6,51.980529
4.25,26,53.330896
0.0,7,53.712889
6.5,17,54.604121
1.75,6,54.906605
6.0,14,55.626724
4.5,9,56.108739
0.75,15,56.882472
0.0,5,57.136013
7.0,24,58.346166
2.0,10,58.873505
4.0,9,59.331607
1.25,3,59.485181
2.5,12,60.10364
12.0,25,61.428531
12.5,34,63.241959
1.75,6,63.544839
2.0,11,64.104717
1.0,13,64.7947
1.5,6,65.104336
3.0,7,65.461025
1.75,6,65.766281
0.75,7,66.163433
7.5,23,67.358504
3.75,13,68.029254
1.0,3,68.186622
1.25,3,68.362185
4.5,9,68.823162
1.25,8,69.238959
5.0,28,70.682161
5.5,14,71.435035
3.25,7,71.788054
2.5,6,72.096399
1.25,9,72.559379
3.25,15,73.355873
0.25,3,73.508163
3.25,13,74.183507
0.0,7,74.547915
0.25,3,74.724864
6.75,40,76.791889
0.75,8,77.201908
0.25,12,77.821531
1.75,5,78.09542
4.75,17,78.970284
1.5,11,79.542916
2.75,6,79.850541
0.75,4,80.085669
0.5,3,80.247423
3.0,6,80.564927
0.25,12,81.192369
4.5,19,82.199324
0.0,5,82.464518
1.5,17,83.558871
13.75,40,85.718599
3.5,18,86.713418
7.0,17,87.65134
0.75,5,87.919636
0.25,20,89.007733
1.25,5,89.295789
4.0,14,90.050063
1.75,7,90.425523
0.75,2,90.536899
3.5,8,91.00089
4.0,14,91.777325
2.75,29,93.323788
5.0,10,93.891776
0.0,6,94.278569
0.25,3,94.442801
3.5,10,94.987945
7.25,15,95.779626
3.0,8,96.212114
0.75,8,96.612256
9.0,26,97.995826
7.5,21,99.082643
0.25,4,99.313917
1.25,4,99.535529
0.25,11,100.113693
1.25,9,100.613502
6.5,13,101.329041
1.0,3,101.506012
14.75,37,103.501376
1.0,5,103.757113
2.5,7,104.138138
0.75,4,104.351713
0.0,3,104.510665
2.75,6,104.826895
4.25,16,105.661347
1.75,10,106.178397
2.75,16,106.993374
13.0,40,109.063625
0.25,4,109.30424
4.0,8,109.70809
2.0,14,110.421651
3.75,36,112.267357
4.25,19,113.279288
0.5,14,114.01036
0.5,4,114.213929
5.75,15,115.011839
3.25,9,115.504952
1.0,14,116.282857
0.0,5,116.542196
1.0,5,116.826752
5.25,11,117.47329
2.75,18,118.433428
2.25,8,118.844529
0.25,18,119.781029
2.5,5,120.09915
2.5,11,120.704928
1.0,3,120.870502
1.0,3,121.039381
1.0,3,121.215806
5.25,17,122.150792
0.25,3,122.307142
3.0,6,122.654708
6.25,15,123.509079
10.5,24,124.800245
4.25,23,126.020989
0.25,4,126.237899
2.5,18,127.23736
2.0,6,127.575479
0.0,4,127.792498
1.25,9,128.278809
3.0,6,128.609044
0.25,4,128.819808
7.25,19,129.826067
2.5,13,130.542313
0.75,5,130.834195
1.5,4,131.039158
1.5,5,131.311217
1.25,6,131.611861
2.75,7,132.013252
0.0,12,132.62848
4.75,12,133.284391
5.25,12,133.914761
0.25,13,134.642751
4.5,13,135.340855
7.5,23,136.543036
5.0,12,137.154937
0.0,5,137.427923
3.5,12,138.048658
4.0,12,138.663846
0.25,11,139.228875
2.25,5,139.503416
