#{"t_start": 1768967348.2015834, "env_id": "parking-basic-v0"}
r,l,t
-18.527864,49,62.433648
-34.303904,100,65.476757
-37.06588,100,68.414545
-28.952576,100,71.501722
-36.563757,100,74.423636
-42.407677,100,77.65739
-29.723533,100,80.780639
-30.543646,100,83.932881
-44.035703,100,87.121036
-31.645107,100,89.986722
-34.835741,100,92.846787
-42.415805,100,95.653172
-57.80657,100,98.785318
-52.232924,100,101.920992
-32.577735,100,104.963726
-71.182651,100,107.789023
-44.4563,100,110.630692
-34.930138,100,113.65025
-37.17887,100,116.724487
-36.263896,100,119.806672
-44.85856,100,122.823635
-37.83356,100,125.771769
-42.310496,100,128.471975
-38.920021,100,131.401313
-53.734064,100,134.485313
-52.951662,100,137.680987
-32.839892,100,141.010207
-40.300635,100,144.135865
-33.489307,100,147.489527
-33.458454,100,150.738277
-58.34774,100,153.929287
-38.600537,100,156.872199
-89.137413,100,159.94441
-72.729297,100,163.098066
-31.137664,100,166.22751
-82.175672,100,169.129211
-44.522631,100,172.051803
-36.437808,100,175.153206
-67.067909,100,178.932446
-70.847157,100,182.384276
-47.051997,100,185.456119
-41.642472,100,188.472545
-49.719627,100,192.075638
-54.11652,100,194.985282
-51.843843,100,197.990927
-72.197695,100,201.079992
-28.420803,100,204.121722
-42.425361,100,207.21262
-26.761849,100,210.315031
-48.115917,100,213.416288
-38.707968,100,216.475025
-46.259404,100,219.296874
-48.919264,100,222.255653
-42.478854,100,225.190174
-41.689456,100,228.163915
-78.509504,100,231.082245
-48.92339,100,234.094739
-37.321829,100,237.216952
-80.511894,100,240.251342
-43.251495,100,243.345744
-46.126991,100,246.511518
-73.152135,100,249.430237
-51.339309,100,252.493466
-45.122335,100,255.499484
-39.071781,100,258.526704
-44.475409,100,261.589504
-45.597526,100,264.76284
-58.904577,100,267.779722
-43.754452,100,270.880397
-67.562166,100,273.836324
-42.122838,100,276.736663
-45.356984,100,279.6212
-69.831271,100,282.556105
-38.758569,100,285.530205
-49.474143,100,288.487506
-42.776545,100,291.529737
-62.842369,100,294.548105
-99.623621,100,297.829584
-29.239183,100,301.172088
-44.316984,100,304.299717
-62.541156,100,307.235424
-66.104952,100,310.181408
-57.611935,100,313.170837
-47.677409,100,316.107939
-40.953887,100,319.167366
-54.255253,100,322.137109
-59.728699,100,325.153173
-81.292322,100,328.232175
-80.153603,100,331.436717
-50.496356,100,334.415648
-44.317075,100,337.476883
-51.761159,100,340.464805
-54.163255,100,343.424073
-55.898624,100,346.385287
-48.186286,100,349.417508
-51.331624,100,352.404553
-53.615058,100,355.479536
-31.085724,100,358.443808
-29.107258,100,361.385044
-53.0989,100,364.264887
-34.391654,100,367.197935
-69.884044,100,370.133978
-68.679135,100,373.162197
-29.127958,100,376.099519
-31.69428,100,378.974956
-69.647822,100,381.966732
-36.827901,100,385.281642
-47.053349,100,388.366968
-41.099774,100,391.294743
-40.000522,100,394.163395
-47.505226,100,397.027951
-47.631151,100,399.852407
-46.589183,100,402.777047
-54.996413,100,405.595874
-50.351498,100,408.37392
-76.415077,100,411.317406
-64.405143,100,414.325657
-62.422294,100,417.266044
-62.843742,100,420.312282
-41.315999,100,423.297854
-61.343486,100,426.197515
-53.812436,100,428.997233
-80.770233,100,431.939617
-9.864004,22,432.612379
-35.316914,100,435.499241
-65.12647,100,438.587234
-33.488679,100,441.694389
-73.792683,100,444.712765
-68.910251,100,447.73412
-49.735466,100,450.557259
-74.831351,100,453.539933
-54.594749,100,456.513349
-51.805938,100,459.469309
-46.900235,100,462.450702
-67.399318,100,465.576375
-44.585376,100,468.55372
-52.074713,100,471.475003
-36.950144,100,474.484762
-6.21569,31,475.447157
-63.308525,100,478.61388
-72.632803,100,481.639528
-64.483946,100,484.563992
-47.940553,100,487.433225
-44.168607,100,490.249752
-41.157248,100,493.524861
-41.027871,100,496.474368
-73.122187,100,499.329133
-39.85819,100,502.298647
-55.362113,100,505.652337
-33.597293,100,508.655581
-46.450865,100,511.871735
-33.917086,100,515.100916
-32.765329,100,518.054345
-52.340935,100,520.915627
-44.504817,100,523.817066
-43.51693,100,526.756774
-63.183852,100,529.72733
-26.883024,100,532.868453
-55.570293,100,535.772543
-48.454471,100,538.727297
-71.987889,100,541.716742
-48.500756,100,544.83239
-42.222875,100,547.862368
-31.836473,100,550.773495
-40.630949,100,553.77581
-34.811403,100,556.789863
