#{"t_start": 1769134576.1673105, "env_id": "parking-basic-boundary-v0"}
r,l,t
0,100,51.771342
0,100,56.012885
0,100,60.287397
-4,30,61.683507
0,100,66.229874
0,100,70.594477
0,100,74.872918
0,100,79.099617
0,100,83.471395
0,100,87.790583
0,100,92.104686
0,100,96.399874
0,100,100.597029
0,100,104.810129
0,100,109.043171
0,100,113.248759
0,100,117.439382
0,100,121.672009
-6,100,125.94436
0,100,130.309348
0,100,134.624812
0,100,138.831447
0,100,143.011422
0,100,147.190562
0,100,151.528721
0,100,155.840243
0,100,160.211553
0,100,164.433774
0,100,168.651303
-8,100,172.830655
0,100,177.001895
0,100,181.193527
0,100,185.396382
0,100,189.698006
0,100,193.909366
0,100,198.12319
0,100,202.324976
0,100,206.589355
0,100,210.770698
0,100,215.138295
0,100,219.338588
0,100,223.595952
0,100,227.869991
0,100,232.079722
0,100,236.31888
0,100,240.547751
0,100,244.745921
0,100,248.949957
0,100,253.266401
0,100,257.494839
0,100,261.716602
0,100,265.959669
0,100,270.192362
0,100,274.450587
0,100,278.790267
0,100,283.134721
0,100,287.392606
0,100,291.640964
0,100,295.848226
0,100,300.039501
0,100,304.293615
0,100,308.515328
0,100,312.72557
0,100,320.582503
-12,100,324.909147
0,100,329.199243
0,100,333.480244
0,100,337.829439
0,100,342.060936
0,100,346.361272
0,100,350.563833
0,100,354.759001
0,100,358.984089
0,100,363.234232
0,100,367.463457
0,100,371.70306
0,100,376.002098
0,100,380.407551
0,100,384.800747
0,100,389.25662
0,100,393.595553
0,100,397.837511
-5,100,402.083659
0,100,406.39154
0,100,410.669908
0,100,414.91371
0,100,419.168919
0,100,423.464417
0,100,427.841698
0,100,432.131779
0,100,436.443464
0,100,440.757697
0,100,445.052442
0,100,449.348595
0,100,453.665732
0,100,457.925148
0,100,462.214243
0,100,466.516893
0,100,470.84159
0,100,475.0991
0,100,479.356301
0,100,483.596196
0,100,487.816182
0,100,492.088495
0,100,496.361366
0,100,500.681665
0,100,504.994179
0,100,509.219191
0,100,513.474579
0,100,517.832412
0,100,522.018512
0,100,526.221852
0,100,530.498482
0,100,534.729943
0,100,538.969846
0,100,543.305739
0,100,547.505728
-10,100,551.686533
0,100,555.89731
0,100,560.09839
0,100,564.417145
0,100,568.921283
0,100,573.191397
0,100,577.530775
0,100,581.729719
0,100,589.413167
0,100,593.768775
0,100,597.952168
0,100,602.137723
0,100,606.323621
-9,100,610.510927
0,100,614.739125
0,100,618.925937
0,100,623.171607
0,100,627.350848
0,100,631.559176
0,100,635.792415
0,100,640.100277
0,100,644.375079
0,100,648.592679
0,100,652.787354
0,100,657.121775
0,100,661.4239
0,100,665.804796
0,100,670.002112
0,100,674.261426
-34,100,678.595479
0,100,682.810656
0,100,687.153666
0,100,691.514251
0,100,695.784611
0,100,699.997961
0,100,704.213958
0,100,708.571735
0,100,712.843076
0,100,717.233901
-31,100,721.482774
-1,100,725.718438
0,100,729.935746
0,100,734.174154
0,100,738.430007
0,100,742.677191
0,100,746.931839
0,100,751.127404
0,100,755.461233
0,100,759.79559
0,100,764.016723
0,100,768.209053
-27,100,772.365554
0,100,776.556713
0,100,780.773313
0,100,784.991901
0,100,789.302095
0,100,793.58049
0,100,797.817815
0,100,802.094634
-5,100,806.768608
0,100,811.301003
0,100,815.599246
0,100,819.868468
0,100,824.157205
0,100,828.389695
-12,100,832.603877
0,100,836.82252
0,100,841.145819
0,100,845.451446
0,100,849.636222
0,100,853.895836
0,100,861.497753
0,100,865.783962
0,100,870.035432
0,100,874.423668
0,100,878.774868
0,100,883.162736
0,100,887.483685
0,100,891.710633
0,100,895.954483
0,100,900.182524
0,100,904.438926
0,100,908.751487
0,100,912.9952
0,100,917.331897
0,100,921.598195
0,100,925.852727
0,100,930.125283
-3,100,934.467884
0,100,938.901323
0,100,943.132644
-5,100,947.593611
0,100,951.811161
0,100,956.035871
0,100,960.265339
0,100,964.593691
0,100,968.843967
0,100,973.07603
0,100,977.319362
0,100,981.608959
0,100,985.890841
0,100,990.157901
0,100,994.419787
0,100,998.687629
0,100,1003.043552
0,100,1007.326722
0,100,1011.583113
0,100,1015.790895
0,100,1020.009753
0,100,1024.214744
0,100,1028.444074
0,100,1032.624918
0,100,1036.845045
0,100,1041.128718
0,100,1045.377529
0,100,1049.610638
0,100,1053.862569
0,100,1058.12709
0,100,1062.323255
0,100,1066.545047
0,100,1070.852557
0,100,1075.070977
0,100,1079.279549
0,100,1083.447076
0,100,1087.657247
0,100,1091.924187
0,100,1096.1619
0,100,1103.06645
0,100,1107.390894
0,100,1111.807894
0,100,1116.226953
0,100,1120.531625
0,100,1124.77591
0,100,1133.562063
0,100,1137.796015
0,100,1142.018934
0,100,1146.271651
0,100,1150.482838
0,100,1155.439849
0,100,1159.684406
0,100,1163.916695
0,100,1170.174428
0,100,1174.400023
0,100,1178.759278
0,100,1183.054678
0,100,1187.324038
0,100,1191.557848
0,100,1195.828805
0,100,1200.081729
0,100,1204.3025
0,100,1208.532813
0,100,1212.776619
0,100,1217.013495
0,100,1221.302271
0,100,1225.569283
0,100,1229.879003
0,100,1234.229145
0,100,1238.598064
0,100,1242.969695
0,100,1247.269069
0,100,1251.490791
0,100,1255.715559
0,100,1259.998989
0,100,1264.292537
0,100,1268.658592
0,100,1272.954467
0,100,1277.223138
0,100,1281.446905
0,100,1285.685374
0,100,1289.956653
0,100,1294.172182
0,100,1298.493553
0,100,1302.724853
0,100,1307.001679
0,100,1311.216242
0,100,1315.428408
0,100,1319.718189
0,100,1323.983648
0,100,1328.202094
0,100,1332.397235
0,100,1336.604202
0,100,1340.885808
0,100,1345.1476
0,100,1349.379115
0,100,1353.648636
0,100,1358.019128
0,100,1362.372919
0,100,1367.385557
0,100,1371.570896
0,100,1375.746024
0,100,1379.940427
0,100,1384.112584
0,100,1388.345464
0,100,1392.60281
0,100,1396.833102
0,100,1401.081802
0,100,1408.74988
0,100,1413.00402
0,100,1417.355884
0,100,1422.412582
0,100,1426.669268
0,100,1430.844254
0,100,1435.057982
-3,100,1439.297803
0,100,1443.506062
0,100,1447.687851
0,100,1451.869425
0,100,1456.22986
0,100,1460.442964
0,100,1464.645772
0,100,1468.94087
0,100,1473.190185
0,100,1477.530133
0,100,1481.897575
0,100,1486.202306
0,100,1490.406696
0,100,1494.583992
0,100,1498.815195
0,100,1502.995433
0,100,1507.221611
0,100,1511.532833
0,100,1515.826689
0,100,1520.047713
0,100,1524.247699
0,100,1528.474704
0,100,1532.707836
0,100,1539.139549
0,100,1543.36034
0,100,1547.714678
0,100,1553.951042
0,100,1558.172865
0,100,1562.410039
0,100,1566.779526
0,100,1571.033657
0,100,1575.296828
0,100,1579.648473
0,100,1583.923131
0,100,1588.221713
0,100,1592.515141
0,100,1596.844699
0,100,1601.142727
0,100,1605.390557
0,100,1609.743372
0,100,1614.014939
0,100,1618.252951
0,100,1622.500919
0,100,1626.771117
0,100,1631.048964
0,100,1635.288028
0,100,1639.695522
0,100,1643.940343
0,100,1648.220249
0,100,1652.483447
0,100,1657.383898
0,100,1661.599998
0,100,1665.956822
0,100,1670.244153
0,100,1674.622859
0,100,1682.238339
0,100,1686.52859
0,100,1690.744619
0,100,1694.964849
0,100,1699.198731
0,100,1703.579948
0,100,1707.935966
0,100,1712.15397
0,100,1716.546665
0,100,1720.923626
0,100,1725.308691
0,100,1729.584971
0,100,1733.86693
0,100,1738.162669
0,100,1742.389777
0,100,1746.629298
0,100,1750.927683
0,100,1755.170056
0,100,1759.479601
0,100,1763.807837
0,100,1770.197826
0,100,1774.387969
0,100,1778.753724
0,100,1782.942921
0,100,1787.204407
0,100,1791.427322
0,100,1795.653341
0,100,1799.987783
0,100,1804.182763
0,100,1808.376889
0,100,1812.584528
-25,100,1816.795199
0,100,1821.0226
0,100,1825.267728
0,100,1829.559309
0,100,1833.775116
0,100,1838.029426
0,100,1842.30568
0,100,1846.659759
0,100,1850.844679
0,100,1855.060697
0,100,1859.401007
0,100,1863.717772
0,100,1867.965338
0,100,1872.181902
0,100,1876.492755
0,100,1880.754269
0,100,1885.02332
0,100,1889.324295
0,100,1893.577694
0,100,1897.931528
0,100,1902.23728
0,100,1906.504721
0,100,1910.720395
0,100,1914.926327
0,100,1919.148397
0,100,1923.440625
0,100,1927.649711
0,100,1931.899314
0,100,1936.183353
0,100,1940.496337
