episode_id,seed,success,episode_length,episode_reward,basic_reward,mean_speed,mean_lane,total_norm_cost
0,42,1,40,17.75,44.026947499723555,22.514795552530327,0.8875,4.5
1,43,1,40,20.0,43.22939766377814,22.018373539861326,1.0,0.0
2,44,0,15,7.5,15.930331753547415,22.383886255912362,1.0,0.0
3,45,1,40,20.0,42.8303236957766,21.76895230986037,1.0,0.0
4,46,1,40,17.75,43.82822224498237,22.392638903113976,0.8875,4.5
5,47,1,40,19.5,40.971449153400634,20.607155720875397,0.975,1.0
6,48,1,40,17.25,41.627705527084075,21.016491418026046,0.8625,5.5
7,49,1,40,19.75,41.62839840434077,21.017749002712982,0.9875,0.5
8,50,1,40,19.75,41.22852795319584,20.767829970747403,0.9875,0.5
9,51,1,40,20.0,43.02939651910758,21.89337282444222,1.0,0.0
10,52,1,40,19.75,43.602189483112454,22.250935842790895,0.9875,0.5
11,53,1,40,16.75,46.226357354140234,23.887677733780173,0.8375,6.5
13,55,1,40,20.0,40.0303317535545,20.018957345971565,1.0,0.0
12,54,1,40,19.75,42.19408266732419,21.37130166707761,0.9875,0.5
14,56,1,40,20.0,40.429388594276155,20.268367871422594,1.0,0.0
17,59,1,40,20.0,42.430331753554505,21.518957345971565,1.0,0.0
17,59,1,40,20.0,42.430331753554505,21.518957345971565,1.0,0.0
16,58,1,40,20.0,44.02939766843072,22.518373542769194,1.0,0.0
15,57,1,40,19.75,41.02839702104511,20.6427481381532,0.9875,0.5
18,60,1,40,19.5,41.62839840434078,21.016927701112166,0.975,1.0
16,58,1,40,20.0,44.02939766843072,22.518373542769194,1.0,0.0
18,60,1,40,19.5,41.62839840434077,21.01692770111216,0.975,1.0
19,61,1,40,19.25,40.22939651470176,20.13891777049721,0.9625,1.5
20,62,1,40,19.0,41.82868762792506,21.14210846604717,0.95,2.0
22,64,1,40,19.75,42.02765833190978,21.26728645744361,0.9875,0.5
21,63,1,40,20.0,40.82939766652498,20.51837354157811,1.0,0.0
19,61,1,40,19.0,40.22939651470176,20.138189969830677,0.95,2.0
20,62,1,40,18.75,41.628441159291704,21.01695442443593,0.9375,2.5
21,63,1,40,20.0,41.22939766652047,20.76837354157529,1.0,0.0
22,64,1,40,19.75,42.02765833195679,21.267286457473,0.9875,0.5
